Time from zero (s),Trace #1 (mV)
0.000,193.051
0.001,194.4
0.002,195.244
0.003,195.407
0.004,195.359
0.005,195.811
0.006,198.275
0.007,194.381
0.008,192.774
0.009,193.233
0.010,195.398
0.011,194.506
0.012,191.725
0.013,194.621
0.014,199.183
0.015,195.465
0.016,196.839
0.017,195.561
0.018,195.724
0.019,195.695
0.020,194.88
0.021,197.224
0.022,196.166
0.023,195.014
0.024,196.233
0.025,193.673
0.026,194.573
0.027,197.022
0.028,196.214
0.029,194.985
0.030,198.536
0.031,199.899
0.032,196.032
0.033,190.221
0.034,193.816
0.035,194.353
0.036,192.975
0.037,192.564
0.038,194.602
0.039,195.494
0.040,194.171
0.041,192.192
0.042,194.698
0.043,195.398
0.044,192.822
0.045,195.916
0.046,195.427
0.047,193.051
0.048,192.937
0.049,193.501
0.050,194.583
0.051,189.813
0.052,188.721
0.053,190.116
0.054,187.973
0.055,192.144
0.056,189.604
0.057,188.333
0.058,189.661
0.059,192.288
0.060,190.582
0.061,188.93
0.062,191.153
0.063,192.23
0.064,188.939
0.065,189.983
0.066,189.661
0.067,189.537
0.068,189.737
0.069,189.509
0.070,187.188
0.071,189.271
0.072,189.831
0.073,190.544
0.074,191.144
0.075,191.839
0.076,190.525
0.077,189.433
0.078,188.229
0.079,188.721
0.080,187.765
0.081,187.973
0.082,190.297
0.083,189.148
0.084,194.63
0.085,188.466
0.086,189.632
0.087,192.354
0.088,191.668
0.089,189.385
0.090,187.737
0.091,191.553
0.092,192.001
0.093,185.961
0.094,187.595
0.095,185.848
0.096,187.964
0.097,187.699
0.098,188.797
0.099,190.963
0.100,189.271
0.101,190.221
0.102,189.869
0.103,189.12
0.104,186.008
0.105,188.968
0.106,186.131
0.107,187.273
0.108,189.841
0.109,188.238
0.110,186.518
0.111,185.085
0.112,190.231
0.113,191.42
0.114,185.001
0.115,185.933
0.116,185.858
0.117,184.427
0.118,185.631
0.119,188.996
0.120,187.699
0.121,183.976
0.122,186.423
0.123,189.271
0.124,185.735
0.125,187.132
0.126,186.858
0.127,186.452
0.128,185.933
0.129,188.191
0.130,188.996
0.131,187.926
0.132,190.982
0.133,189.765
0.134,190.421
0.135,187.841
0.136,186.433
0.137,188.57
0.138,186.206
0.139,186.546
0.140,187.066
0.141,192.23
0.142,189.49
0.143,187.349
0.144,191.944
0.145,188.75
0.146,189.746
0.147,190.183
0.148,190.25
0.149,191.62
0.150,192.011
0.151,190.202
0.152,188.608
0.153,187.283
0.154,189.148
0.155,187.529
0.156,186.518
0.157,184.859
0.158,186.518
0.159,184.982
0.160,184.511
0.161,187.548
0.162,186.442
0.163,189.461
0.164,191.734
0.165,186.273
0.166,187.491
0.167,184.624
0.168,185.867
0.169,188.57
0.170,187.188
0.171,185.961
0.172,189.746
0.173,191.287
0.174,189.177
0.175,188.703
0.176,187.273
0.177,185.518
0.178,188.314
0.179,187.964
0.180,186.386
0.181,188.04
0.182,189.158
0.183,190.468
0.184,184.963
0.185,186.688
0.186,184.869
0.187,187.954
0.188,186.056
0.189,187.595
0.190,187.85
0.191,187.245
0.192,185.716
0.193,182.269
0.194,182.017
0.195,180.466
0.196,184.765
0.197,186.093
0.198,186.367
0.199,185.132
0.200,182.41
0.201,183.807
0.202,185.481
0.203,185.283
0.204,185.462
0.205,181.923
0.206,185.839
0.207,180.746
0.208,182.185
0.209,184.211
0.210,182.073
0.211,181.558
0.212,181.755
0.213,184.032
0.214,182.372
0.215,184.549
0.216,184.211
0.217,185.132
0.218,186.178
0.219,185.65
0.220,183.657
0.221,186.414
0.222,185.095
0.223,180.232
0.224,180.484
0.225,181.427
0.226,181.175
0.227,185.848
0.228,185.688
0.229,181.773
0.230,185.114
0.231,188.191
0.232,186.14
0.233,182.456
0.234,184.605
0.235,182.878
0.236,183.45
0.237,182.026
0.238,180.12
0.239,180.13
0.240,180.307
0.241,180.232
0.242,179.487
0.243,181.026
0.244,181.605
0.245,180.382
0.246,181.315
0.247,177.044
0.248,177.099
0.249,180.186
0.250,178.473
0.251,175.775
0.252,176.127
0.253,176.886
0.254,174.778
0.255,178.51
0.256,176.238
0.257,178.928
0.258,178.789
0.259,179.087
0.260,180.065
0.261,179.887
0.262,178.91
0.263,177.452
0.264,176.738
0.265,178.454
0.266,177.943
0.267,179.887
0.268,181.474
0.269,178.111
0.270,180.522
0.271,181.511
0.272,179.897
0.273,177.442
0.274,180.344
0.275,178.194
0.276,181.222
0.277,180.158
0.278,174.603
0.279,178.426
0.280,180.288
0.281,175.692
0.282,175.156
0.283,179.664
0.284,179.245
0.285,178.529
0.286,179.115
0.287,175.886
0.288,177.173
0.289,176.488
0.290,174.372
0.291,174.501
0.292,176.451
0.293,178.25
0.294,175.443
0.295,176.21
0.296,171.576
0.297,172.632
0.298,172.503
0.299,175.156
0.300,174.916
0.301,177.637
0.302,174.086
0.303,171.879
0.304,171.375
0.305,173.377
0.306,170.395
0.307,172.494
0.308,175.859
0.309,176.21
0.310,174.4
0.311,174.686
0.312,175.304
0.313,174.759
0.314,173.589
0.315,172.357
0.316,172.338
0.317,176.636
0.318,174.132
0.319,173.902
0.320,171.989
0.321,176.886
0.322,174.289
0.323,173.267
0.324,175.433
0.325,177.238
0.326,175.877
0.327,177.442
0.328,176.506
0.329,173.488
0.330,175.36
0.331,174.39
0.332,173.175
0.333,175.101
0.334,176.303
0.335,174.031
0.336,174.178
0.337,171.338
0.338,168.085
0.339,171.136
0.340,171.375
0.341,170.633
0.342,172.136
0.343,174.778
0.344,172.402
0.345,169.197
0.346,172.733
0.347,172.485
0.348,172.724
0.349,172.991
0.350,172.035
0.351,172.632
0.352,173.598
0.353,175.221
0.354,172.908
0.355,173.359
0.356,170.01
0.357,168.759
0.358,171.375
0.359,170.12
0.360,170.706
0.361,173.764
0.362,169.48
0.363,170.038
0.364,170.733
0.365,174.75
0.366,172.164
0.367,171.925
0.368,171.971
0.369,173.773
0.370,175.683
0.371,172.136
0.372,175.018
0.373,171.072
0.374,169.837
0.375,170.688
0.376,169.06
0.377,169.353
0.378,171.741
0.379,171.503
0.380,172.623
0.381,171.586
0.382,172.476
0.383,172.072
0.384,168.613
0.385,168.869
0.386,168.24
0.387,171.604
0.388,172.687
0.389,169.599
0.390,171.072
0.391,171.833
0.392,169.59
0.393,167.457
